file,dna_score,bucket
1.png,73.0,BODY_LOCK_V1
10.png,96.07,FACE_LOCK_V1
100.png,96.04,FACE_LOCK_V1
104.png,94.89,FACE_LOCK_V1
107.png,95.27,FACE_LOCK_V1
11.png,97.19,FACE_LOCK_V1
15.png,95.4,FACE_LOCK_V1
19.png,97.82,FACE_LOCK_V1
22.png,90.67,FACE_LOCK_V1
26.png,93.37,FACE_LOCK_V1
3.png,95.44,FACE_LOCK_V1
32.png,98.14,FACE_LOCK_V1
38.png,97.48,FACE_LOCK_V1
41.png,97.52,FACE_LOCK_V1
45.png,98.5,FACE_LOCK_V1
48.png,94.1,FACE_LOCK_V1
5.png,98.01,FACE_LOCK_V1
53.png,98.26,FACE_LOCK_V1
56.png,96.65,FACE_LOCK_V1
6.png,98.4,FACE_LOCK_V1
62.png,94.81,FACE_LOCK_V1
65.png,97.96,FACE_LOCK_V1
68.png,97.57,FACE_LOCK_V1
71.png,97.97,FACE_LOCK_V1
75.png,96.1,FACE_LOCK_V1
79.png,94.37,FACE_LOCK_V1
82.png,95.36,FACE_LOCK_V1
86.png,93.2,FACE_LOCK_V1
9.png,97.19,FACE_LOCK_V1
95.png,98.2,FACE_LOCK_V1
a.png,55.84,NEGATIVE_EXAMPLES
"ChatGPT Image 26 de mai. de 2026, 12_23_17.png",93.28,FACE_LOCK_V1
"ChatGPT Image 26 de mai. de 2026, 12_31_03.png",75.79,BODY_LOCK_V1
"ChatGPT Image 26 de mai. de 2026, 12_40_49.png",86.49,LIFESTYLE_LOCK_V1
f.png,97.31,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (11).png,98.15,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (15).png,97.74,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (19).png,97.57,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (22).png,97.3,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (26).png,97.34,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (3).png,98.16,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (42).png,98.32,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (48).png,98.04,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (51).png,97.95,FACE_LOCK_V1
