symbol,timeframe,time,open,high,low,close,volume,quantity,sma_20,sma_50,ema_8,ema_21,ema_55,rsi_14,atr_14,atr_pct,bb_upper,bb_lower,bb_position,donchian_high_20,donchian_low_20,donchian_position,macd,macd_signal,fibo_382,fibo_500,fibo_618,fibo_zone,trigger_long_wick_rejection,trigger_bullish_engulfing,trend_proxy,volatility_proxy
VCJR11,H1,2024-01-07,70.86,71.42,70.07,70.12,195199.48,2777.0,,,70.12,70.12,70.12,,,,,,,,,,0.0,0.0,,,,NONE,0,0,RANGE,NORMAL_VOL
VCJR11,H1,2024-01-07,70.29,70.55,70.28,70.51,159352.35,2263.0,,,70.20666666666668,70.15545454545455,70.13392857142857,,,,,,,,,,0.031111111111115974,0.006222222222223195,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.42,70.75,70.42,70.61,152133.62,2157.0,,,70.2962962962963,70.19677685950413,70.15093112244898,,,,,,,,,,0.0631085786641421,0.017599493510606978,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.7,70.7,70.43,70.43,230755.37,3274.0,,,70.32600823045269,70.21797896318557,70.1608978680758,,,,,,,,,,0.07309965918386752,0.028699526645259085,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.43,70.47,70.29,70.38,134517.3,1911.0,,,70.3380064014632,70.23270814835051,70.16872294421596,,,,,,,,,,0.07610578028410941,0.03818077737302915,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.38,70.68,70.38,70.38,197763.48,2805.0,,,70.34733831224915,70.24609831668228,70.1762685533511,,,,,,,,,,0.07759370102893115,0.046063362104209554,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.5,70.5,70.38,70.5,8448.39,120.0,,,70.38126313174934,70.26918028789298,70.1878303907314,,,,,,,,,,0.08744784177169151,0.05434025803770595,,,,NONE,1,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-07,70.12,70.44,70.12,70.41,201736.52,2875.0,,,70.3876491024717,70.2819820799027,70.19576501963385,,,,,,,,,,0.08699227862973657,0.06087066215611208,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-08,71.54,71.54,70.74,70.74,89456.89,1260.0,,,70.46594930192242,70.32362007263882,70.21520198321835,,,,,,,,,,0.11196877726632692,0.07109028517815505,,,,NONE,0,0,TREND_UP,NORMAL_VOL
VCJR11,H1,2024-01-08,70.84,70.97,70.69,70.73,322263.55,4554.0,,,70.52462723482856,70.36056370239892,70.23358762667483,,,,,,,,,,0.12946354084468226,0.0827649363114605,,,,NONE,0,0,TREND_UP,NORMAL_VOL
