"symbol","class","timeframe","strategy","status","approval_pf","approval_trades","approval_winrate","approval_maxdd"
"EURUSD","FOREX","M5","SMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M5","EMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M5","RSI_MEAN_REVERSION","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M5","ADX_TREND","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M5","ATR_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M5","DONCHIAN_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","SMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","EMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","RSI_MEAN_REVERSION","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","ADX_TREND","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","ATR_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M15","DONCHIAN_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","SMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","EMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","RSI_MEAN_REVERSION","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","ADX_TREND","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","ATR_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","M30","DONCHIAN_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","SMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","EMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","RSI_MEAN_REVERSION","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","ADX_TREND","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","ATR_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H1","DONCHIAN_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H4","SMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H4","EMA_CROSS","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H4","RSI_MEAN_REVERSION","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H4","ADX_TREND","PENDING_BACKTEST","1,8","100","45","15"
"EURUSD","FOREX","H4","ATR_BREAKOUT","PENDING_BACKTEST","1,8","100","45","15"
