"capability","runtime_exists","runtime_connectivity","runtime_maturity","runtime_review_status","drive_component","drive_new_capability","decision","priority","action","evidence"
"ACTION_CONTINUITY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"AGENTS","PARCIAL","DESCONECTADA_OU_NAO_COMPROVADA","TIER C","REVISAR",,,"REVISAR","MEDIUM","REVISAR_RUNTIME","P5.11_BRAIN_MAP"
"AUTONOMY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"COGNITIVE_CONTROL","NÃO","NÃO","TIER D","MISSING","oversight","SIM","INTEGRAR_FUTURAMENTE","HIGH","CRIAR_PLANO_DE_INTEGRACAO_NO_BUILD","P5.15B_OVERSIGHT"
"COMMUNICATION","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"CONTEXT_RECOVERY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"DECISION_MEMORY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"DISPATCH","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"EMOTIONAL_MEMORY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"GOVERNANCE","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"HIERARCHICAL_PLANNING","PARCIAL","DESCONECTADA_OU_NAO_COMPROVADA","TIER C","REVISAR","hierarchical_planner_step449","SIM","INTEGRAR_FUTURAMENTE","CRITICAL","CRIAR_PLANO_DE_INTEGRACAO_NO_BUILD","P5.14E_HIERARCHICAL_PLANNER"
"HUMANIZATION","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"KNOWLEDGE","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"LEARNING","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"MEMORY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"MULTI_AGENT","PARCIAL","DESCONECTADA_OU_NAO_COMPROVADA","TIER C","REVISAR",,,"REVISAR","MEDIUM","REVISAR_RUNTIME","P5.11_BRAIN_MAP"
"ORCHESTRATION","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"PERSONALITY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"PLANNING","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"REASONING","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"REFLECTION","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"RETRIEVAL","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"ROUTING","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"SAFETY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"SEMANTIC_MEMORY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"SIMULATION","PARCIAL","DESCONECTADA_OU_NAO_COMPROVADA","TIER C","REVISAR",,,"REVISAR","MEDIUM","REVISAR_RUNTIME","P5.11_BRAIN_MAP"
"SOCIAL_MEMORY","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
"TOOL_SELECTION","NÃO","NÃO","TIER D","MISSING",,,"INVESTIGAR","MEDIUM","REVISAR_RUNTIME","P5.11_BRAIN_MAP"
"TOOL_USE","SIM","ATIVA","TIER A","OK",,,"OK","LOW","NADA","P5.11_BRAIN_MAP"
