"symbol","class","source","status"
"EURUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"GBPUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"USDJPY","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"USDCHF","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"USDCAD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"AUDUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"NZDUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"EURJPY","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"GBPJPY","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"EURGBP","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"EURAUD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"EURCAD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"AUDJPY","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"CADJPY","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"XAUUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"XAGUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"USOIL","COMMODITIES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"UKOIL","COMMODITIES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"NGAS","COMMODITIES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"US30","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"US100","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"US500","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"GER40","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"UK100","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"FRA40","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"JPN225","INDICES","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"BTCUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"ETHUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"LTCUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"XRPUSD","FOREX","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"AAPL","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"MSFT","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"NVDA","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"TSLA","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"AMZN","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"META","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
"GOOGL","STOCKS","FTMO_ALLOWED_PLATFORM_UNIVERSE_SEED","PENDING_MT5_SPEC_VALIDATION"
