"Path","LineNumber","Line"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","5","from app.golden_pipeline.memory_engine import memory_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","6","from app.golden_pipeline.emotional_engine import emotional_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","7","from app.golden_pipeline.reasoning_engine import reasoning_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","8","from app.golden_pipeline.strategy_engine import strategy_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","9","from app.golden_pipeline.decision_engine import decision_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","10","from app.golden_pipeline.state_machine import state_machine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","11","from app.golden_pipeline.behavior_engine import behavior_engine"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","12","from app.golden_pipeline.live_call_engine import live_call"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","13","from app.golden_pipeline.voice_director import director, VoiceUnavailable"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","31","        reason = reasoning_engine.tick()"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_friendship_runtime\routes_golden_proactive.py","81","        ""reasoning"": reason,"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\_drive_recovered_semantic_diamond_runtime_v2\app_embeddings_vector_index_step455_engine.py","84","            ""engine"": ""vector_index_step455_planner"","
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\FIX_WHATSAPP_VISIBLE_SCOPE_FINAL_20260617_182826\patch_whatsapp_visible_scope.py","12","    ""        visible = run_cognitive_pipeline(sender_id, expanded_message)\n"""
