trade_id,edge_id,symbol,timeframe,strategy,params,entry_time,entry_action,entry_price,entry_reason,stop_reference,stop_reason,target_atr,target_rr,target_reason,exit_time,exit_price,exit_reason,pnl,result,payoff_context,mode,real_orders
"USDCAD_H1_EMA_CROSS_21,55_163_180","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-09-09 02:00:00,SELL,1.38005,"EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",1.38365,stop técnico baseado em swing high anterior + volatilidade ATR14=0.001299,1.377453,1.37285,target calculado por confluência: 2x ATR (1.377453) + RR 2:1 baseado no swing/stop (1.37285),2025-09-09 19:00:00,1.3835,saída por sinal oposto: novo cruzamento BUY em 2025-09-09 18:00:00,-0.00345,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_180_236","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-09-09 19:00:00,BUY,1.3835,"EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",1.37935,stop técnico baseado em swing low anterior + volatilidade ATR14=0.00129,1.38608,1.3918,target calculado por confluência: 2x ATR (1.38608) + RR 2:1 baseado no swing/stop (1.3918),2025-09-12 03:00:00,1.38351,saída por sinal oposto: novo cruzamento SELL em 2025-09-12 02:00:00,1e-05,WIN,trade positivo contribui para payoff,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_236_339","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-09-12 03:00:00,SELL,1.38351,"EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",1.38911,stop técnico baseado em swing high anterior + volatilidade ATR14=0.00127,1.38097,1.37231,target calculado por confluência: 2x ATR (1.38097) + RR 2:1 baseado no swing/stop (1.37231),2025-09-18 10:00:00,1.37952,saída por sinal oposto: novo cruzamento BUY em 2025-09-18 09:00:00,0.00399,WIN,trade positivo contribui para payoff,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_339_528","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-09-18 10:00:00,BUY,1.37952,"EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",1.37268,stop técnico baseado em swing low anterior + volatilidade ATR14=0.001455,1.38243,1.3932,target calculado por confluência: 2x ATR (1.38243) + RR 2:1 baseado no swing/stop (1.3932),2025-09-30 07:00:00,1.39152,saída por sinal oposto: novo cruzamento SELL em 2025-09-30 06:00:00,0.012,WIN,trade positivo contribui para payoff,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_528_548","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-09-30 07:00:00,SELL,1.39152,"EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",1.39395,stop técnico baseado em swing high anterior + volatilidade ATR14=0.001059,1.389403,1.38666,target calculado por confluência: 2x ATR (1.389403) + RR 2:1 baseado no swing/stop (1.38666),2025-10-01 03:00:00,1.39241,saída por sinal oposto: novo cruzamento BUY em 2025-10-01 02:00:00,-0.00089,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_548_642","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-10-01 03:00:00,BUY,1.39241,"EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",1.38963,stop técnico baseado em swing low anterior + volatilidade ATR14=0.001146,1.394701,1.39797,target calculado por confluência: 2x ATR (1.394701) + RR 2:1 baseado no swing/stop (1.39797),2025-10-07 01:00:00,1.39396,saída por sinal oposto: novo cruzamento SELL em 2025-10-07 00:00:00,0.00155,WIN,trade positivo contribui para payoff,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_642_654","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-10-07 01:00:00,SELL,1.39396,"EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",1.39677,stop técnico baseado em swing high anterior + volatilidade ATR14=0.000827,1.392306,1.38834,target calculado por confluência: 2x ATR (1.392306) + RR 2:1 baseado no swing/stop (1.38834),2025-10-07 13:00:00,1.39545,saída por sinal oposto: novo cruzamento BUY em 2025-10-07 12:00:00,-0.00149,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_654_659","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-10-07 13:00:00,BUY,1.39545,"EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",1.39391,stop técnico baseado em swing low anterior + volatilidade ATR14=0.000614,1.396679,1.39853,target calculado por confluência: 2x ATR (1.396679) + RR 2:1 baseado no swing/stop (1.39853),2025-10-07 18:00:00,1.39472,saída por sinal oposto: novo cruzamento SELL em 2025-10-07 17:00:00,-0.00073,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_659_664","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-10-07 18:00:00,SELL,1.39472,"EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",1.39626,stop técnico baseado em swing high anterior + volatilidade ATR14=0.000741,1.393239,1.39164,target calculado por confluência: 2x ATR (1.393239) + RR 2:1 baseado no swing/stop (1.39164),2025-10-07 23:00:00,1.39546,saída por sinal oposto: novo cruzamento BUY em 2025-10-07 22:00:00,-0.00074,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
"USDCAD_H1_EMA_CROSS_21,55_664_665","USDCAD_H1_EMA_CROSS_21,55",USDCAD,H1,EMA_CROSS,"21,55",2025-10-07 23:00:00,BUY,1.39546,"EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",1.39387,stop técnico baseado em swing low anterior + volatilidade ATR14=0.000936,1.397333,1.39864,target calculado por confluência: 2x ATR (1.397333) + RR 2:1 baseado no swing/stop (1.39864),2025-10-08 00:00:00,1.39475,saída por sinal oposto: novo cruzamento SELL em 2025-10-07 23:00:00,-0.00071,LOSS,trade negativo reduz payoff; exige análise de filtro,PAPER_ONLY,FORBIDDEN
